VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0208
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  06/28/2016 08:46:38.185,   1.908837e+00,   9.266947e-04,   1.665691e+04,   3.302615e+01,   4.172399e+02,   1.793672e-01,   1.941171e+00,   9.097344e-04,   4.243076e+02,   1.791076e-01,   1.405691e+02,   2.601570e-02,   2.204165e+01,   7.686568e-04,   2.310502e+01,   1.220321e-02,   1.126075e+01,   1.810998e-03,   1.170022e+01,   3.231918e-03,              3,              0,       1 meters
  06/28/2016 08:46:43.070,   1.909109e+00,   5.178777e-04,   1.661586e+04,   6.487131e+00,   4.176799e+02,   1.388969e-01,   1.941367e+00,   5.361600e-04,   4.247373e+02,   1.419646e-01,   1.405383e+02,   2.117277e-02,   2.204471e+01,   1.072522e-03,   2.314172e+01,   1.127438e-02,   1.125928e+01,   2.618422e-03,   1.169803e+01,   2.460560e-03,              3,              0,       1 meters
  06/28/2016 08:46:47.954,   1.908946e+00,   6.154243e-04,   1.665298e+04,   3.146937e+01,   4.180167e+02,   1.449637e-01,   1.941274e+00,   5.980425e-04,   4.250959e+02,   1.578019e-01,   1.405415e+02,   1.464419e-02,   2.204754e+01,   8.436645e-04,   2.317294e+01,   9.110861e-03,   1.126032e+01,   1.699994e-03,   1.169723e+01,   1.848200e-03,              3,              0,       1 meters
  06/28/2016 08:46:52.838,   1.908342e+00,   7.338770e-04,   1.666414e+04,   2.230069e+01,   4.182871e+02,   1.499587e-01,   1.940682e+00,   7.575229e-04,   4.253756e+02,   1.524628e-01,   1.405729e+02,   2.138188e-02,   2.205054e+01,   1.035978e-03,   2.320436e+01,   9.610175e-03,   1.126110e+01,   2.049902e-03,   1.169573e+01,   3.409191e-03,              3,              0,       1 meters
  06/28/2016 08:46:57.722,   1.909002e+00,   1.140749e-03,   1.668059e+04,   3.954265e+01,   4.180572e+02,   1.585210e-01,   1.941386e+00,   1.143008e-03,   4.251489e+02,   1.591417e-01,   1.405730e+02,   2.875586e-02,   2.205341e+01,   9.114397e-04,   2.323779e+01,   9.537371e-03,   1.125939e+01,   2.854959e-03,   1.169719e+01,   3.887657e-03,              3,              0,       1 meters
  06/28/2016 08:47:02.606,   1.908701e+00,   4.407051e-04,   1.662904e+04,   3.450913e+01,   4.177023e+02,   2.751035e-02,   1.940977e+00,   4.753027e-04,   4.247658e+02,   2.940689e-02,   1.405366e+02,   2.051874e-02,   2.205629e+01,   1.151223e-03,   2.327035e+01,   9.569369e-03,   1.126127e+01,   3.621028e-03,   1.169550e+01,   2.306878e-03,              3,              0,       1 meters
  06/28/2016 08:47:07.491,   1.908662e+00,   3.826288e-04,   1.666374e+04,   3.503430e+01,   4.181864e+02,   1.730827e-01,   1.941006e+00,   4.407465e-04,   4.252730e+02,   1.894804e-01,   1.405488e+02,   1.742034e-02,   2.205897e+01,   9.294052e-04,   2.330008e+01,   8.361893e-03,   1.125837e+01,   1.599517e-03,   1.169779e+01,   4.474068e-03,              3,              0,       1 meters
  06/28/2016 08:47:12.375,   1.909070e+00,   5.333215e-04,   1.669040e+04,   2.892052e+01,   4.183346e+02,   1.873055e-01,   1.941474e+00,   5.266237e-04,   4.254352e+02,   1.885206e-01,   1.405758e+02,   2.074145e-02,   2.206211e+01,   1.062335e-03,   2.332841e+01,   9.543501e-03,   1.125806e+01,   1.934849e-03,   1.169760e+01,   4.102771e-03,              3,              0,       1 meters
  06/28/2016 08:47:17.260,   1.908824e+00,   1.321048e-03,   1.667094e+04,   3.142930e+01,   4.177969e+02,   3.061232e-01,   1.941185e+00,   1.309389e-03,   4.248801e+02,   3.159199e-01,   1.405461e+02,   1.751061e-02,   2.206507e+01,   8.324622e-04,   2.336348e+01,   1.023065e-02,   1.125839e+01,   1.748696e-03,   1.169723e+01,   4.497306e-03,              3,              0,       1 meters
  06/28/2016 08:47:22.145,   1.908034e+00,   5.468837e-04,   1.660838e+04,   2.886566e+01,   4.173506e+02,   1.176058e-01,   1.940258e+00,   6.098244e-04,   4.243992e+02,   1.163998e-01,   1.405377e+02,   1.859868e-02,   2.206794e+01,   1.082000e-03,   2.339588e+01,   1.006598e-02,   1.125719e+01,   1.508719e-03,   1.169717e+01,   2.714645e-03,              3,              0,       1 meters
  06/28/2016 08:47:27.028,   1.908486e+00,   6.152579e-04,   1.668413e+04,   2.005376e+01,   4.170919e+02,   2.409467e-01,   1.940868e+00,   6.341676e-04,   4.241688e+02,   2.466635e-01,   1.405664e+02,   1.552832e-02,   2.207073e+01,   8.339606e-04,   2.342337e+01,   8.751743e-03,   1.125907e+01,   6.595794e-04,   1.169651e+01,   2.977230e-03,              3,              0,       1 meters
