site,rep,exp.group,soil_weight,water_weight,total_weight,jar_size,time_0,time_1,time_2,time_3
,,"A = low, B = med, C = high",g soil,g water,g jar + soil + water,oz,HH:MM:SS,HH:MM:SS,HH:MM:SS,HH:MM:SS
HFUD,A1,A,35.03,17.5,339.44,16,15:44:03,9:11:36,,
HFUD,A2,A,35.04,17.5,243.91,8,15:48:38,9:14:54,,
HFUD,A3,A,34.98,17.5,245.79,8,15:51:54,9:18:35,,
HFUD,A4,A,35.04,17.5,337.72,16,,9:22:11,,
HFUD,A5,A,35.03,17.5,338.19,16,,9:25:44,,
HFUD,B1,B,34.99,26,346.12,16,15:55:33,9:29:47,,
HFUD,B2,B,35.05,26,252.41,8,15:59:04,9:33:45,,
HFUD,B3,B,35.03,26,252.61,8,16:01:22,9:37:47,,
HFUD,B4,B,35.04,26,344.67,16,,9:41:47,,
HFUD,B5,B,35.03,26,345.74,16,,9:46:02,,
HFUD,C1,C,35,50,368.24,16,16:03:35,9:50:22,,
HFUD,C2,C,34.94,50,273.12,8,16:05:49,9:54:28,,
HFUD,C3,C,35.03,50,274.38,8,16:07:58,9:58:37,,
HFUD,C4,C,35.04,50,370.56,16,,10:02:43,,
HFUD,C5,C,35,50,368.07,16,,10:07:02,,
HFUH,A1,A,35.04,17.5,244.8,8,16:10:11,10:11:00,,
HFUH,A2,A,35.04,17.5,244.29,8,16:12:25,10:15:03,,
HFUH,A3,A,35,17.5,243.64,8,16:14:36,10:18:22,,
HFUH,A4,A,35,17.5,336.53,16,,10:22:28,,
HFUH,A5,A,35.05,17.5,338.25,16,,10:26:50,,
HFUH,B1,B,42.01,26,251.37,8,16:16:51,10:30:11,,
HFUH,B2,B,35.03,26,253.08,8,16:18:58,10:34:11,,
HFUH,B3,B,35.02,26,250.09,8,16:21:08,10:38:55,,
HFUH,B4,B,35.04,26,346.42,16,,10:43:00,,
HFUH,B5,B,35.03,26,345.52,16,,10:47:25,,
HFUH,C1,C,35.02,50,274.8,8,16:23:19,10:52:01,,
HFUH,C2,C,35.03,50,276.87,8,16:25:29,10:57:07,,
HFUH,C3,C,34.97,50,275.26,8,16:27:34,11:01:10,,
HFUH,C4,C,35.01,50,369.39,16,,11:05:18,,
HFUH,C5,C,35.04,50,371.09,16,,11:09:21,,
HFLD,A1,A,11.99,6,210.55,8,16:49:58,11:13:11,,
HFLD,A2,A,25.02,12.5,228.1,8,16:52:14,11:17:22,,
HFLD,A3,A,11.98,6,209.92,8,16:54:32,11:21:32,,
HFLD,A4,A,25.01,12.5,228.48,8,,11:25:48,,
HFLD,A5,A,25.03,12.5,229.07,8,,11:29:46,,
HFLD,B1,B,12,9,213.74,8,16:56:45,11:34:16,,
HFLD,B2,B,25.05,19,235.21,8,16:59:12,11:38:16,,
HFLD,B3,B,12,9,213.32,8,17:01:32,11:42:18,,
HFLD,B4,B,24.98,19,235.39,8,,11:46:54,,
HFLD,B5,B,25,19,235.51,8,,11:50:42,,
HFLD,C1,C,12.03,17,221.15,8,17:03:51,11:55:59,,
HFLD,C2,C,25.02,35,250.96,8,17:05:54,12:00:09,,
HFLD,C3,C,12.03,17,220.56,8,17:08:05,12:04:15,,
HFLD,C4,C,25.02,35,250.54,8,,12:08:28,,
HFLD,C5,C,25.02,35,250.04,8,,12:13:02,,
HFLH,A1,A,25,12.5,229.28,8,17:10:20,13:55:31,,
HFLH,A2,A,24.98,12.5,230.63,8,17:12:35,13:59:00,,
HFLH,A3,A,24.97,12.5,227.93,8,17:14:47,14:02:36,,
HFLH,A4,A,12.04,6,208,8,,14:06:13,,
HFLH,A5,A,25.03,12.5,229.39,8,,14:10:04,,
HFLH,B1,B,25.05,19,236.3,8,17:17:03,14:13:30,,
HFLH,B2,B,25.02,19,237.3,8,17:19:24,14:17:02,,
HFLH,B3,B,25.02,19,235.84,8,17:21:38,14:21:09,,
HFLH,B4,B,12.02,9,213.27,8,,14:23:48,,
HFLH,B5,B,25.04,19,233.92,8,,14:26:19,,
HFLH,C1,C,25.01,35,251.11,8,17:23:48,14:28:51,,
HFLH,C2,C,25.01,35,253.15,8,17:26:03,14:31:12,,
HFLH,C3,C,25.04,35,250.45,8,17:28:15,14:33:40,,
HFLH,C4,C,12.03,17,221.82,8,,14:36:00,,
HFLH,C5,C,25,35,248.76,8,,14:38:25,,
HBUD,A1,A,35.05,17.5,244.47,8,21:00:06,14:40:47,,
HBUD,A2,A,35.04,17.5,244.28,8,21:02:52,14:43:13,,
