,id,site,location,forest,field,treat,order,group,CO2.flux.mass.time_0,CO2.flux.mass.time_1,CO2.flux.mass.time_2,CO2.flux.mass.time_3,CO2.flux.mass.time_4,CO2.flux.mass.time_5,CO2.flux.mass.time_6,CO2.total,CO2.pre,CO2.post,CO2.pre.avg,CO2.post.avg,CO2.tot.norm,CO2.flood,CO2.pre.norm,CO2.post.norm
55,HBLDA1,HBLD,HB,D,L,A,B,HBLDA,-0.015292735,2.385511101,1.779933687,1.800830074,1.534372364,4.477179841,2.904998815,221.5630757,132.9769318,88.58614386,1.875161806,3.691089328,310.1492196,0.666176777,0.428751464,0.571248536
56,HBLDA2,HBLD,HB,D,L,A,B,HBLDA,0.029536042,1.474102497,1.105398905,1.069409184,1.029473709,3.417962045,2.556733489,153.934655,82.23830861,71.69634641,1.169596074,2.987347767,225.6310014,0.871812026,0.364481424,0.635518576
57,HBLDA3,HBLD,HB,D,L,A,B,HBLDA,0.034294102,1.824680038,1.454682567,1.331049375,1.331125264,3.32097117,2.682152247,176.7647112,104.7272302,72.037481,1.485384311,3.001561709,248.8021922,0.687858171,0.420925673,0.579074327
58,HBLDB1,HBLD,HB,D,L,B,B,HBLDB,0.026463334,3.009113807,2.414209588,1.41305562,2.157717588,3.855787179,3.44970239,241.5222165,153.8563417,87.66587482,2.248524151,3.652744784,329.1880914,0.569790454,0.46738125,0.53261875
59,HBLDB2,HBLD,HB,D,L,B,B,HBLDB,0.082811909,2.623995423,1.857118522,1.165849448,2.171612515,2.914404736,2.691084024,197.3643917,130.0985265,67.26586512,1.954643977,2.80274438,264.6302568,0.517037871,0.491623778,0.508376222
60,HBLDB3,HBLD,HB,D,L,B,B,HBLDB,0.092518097,1.483725462,1.666799245,0.999573894,0.449925853,3.25335512,2.65246399,158.0666004,87.19677112,70.86982931,1.150006114,2.952909555,228.9364297,0.812757496,0.380877658,0.619122342
61,HBLDC1,HBLD,HB,D,L,C,B,HBLDC,-0.148075243,7.08192311,12.91096921,5.759199731,12.05174777,3.440543329,3.191828364,757.2765655,677.6881052,79.58846031,9.450959956,3.316185846,836.8650258,0.117441135,0.809793795,0.190206205
62,HBLDC2,HBLD,HB,D,L,C,B,HBLDC,-0.002263255,1.915273822,0.566536113,4.175871861,4.068539888,2.348370334,1.512618915,231.9554269,185.6235559,46.33187099,2.681555421,1.930494624,278.2872979,0.249601247,0.667021303,0.332978697
63,HBLDC3,HBLD,HB,D,L,C,B,HBLDC,0.014766158,3.649809357,3.888165887,3.037717525,3.146894182,2.006664637,2.868953572,306.2890629,247.7816444,58.50741851,3.430646738,2.437809104,364.7964814,0.23612491,0.67923255,0.32076745
214,HBLDA4,HBLD,HB,D,L,A,B,HBLDA,NA,0.957757659,1.175275378,0.923320837,0.891237406,0.96789447,1.161468991,98.10661146,72.55424993,25.55236153,0.98689782,1.06468173,123.658973,0.352182836,0.58672855,0.41327145
215,HBLDA5,HBLD,HB,D,L,A,B,HBLDA,NA,1.355098504,1.145900369,0.931448298,0.944697583,1.667946015,1.501765825,115.4904631,77.45392104,38.03654208,1.094286188,1.58485592,153.5270052,0.491086075,0.504497049,0.495502951
